"Model","Baseline","Retained Module","Removed Modules","Training Strategy","Healthy AP50/%","Bleached AP50/%","Dead AP50/%","mAP50/%","mAP50-95/%","Precision/%","Recall/%","Params/M","GFLOPs","FPS","Eval Split","Weight"
"YOLOv11n-C2fCIB-LightAug-seed2026","YOLOv11n","C2fCIB","MEFA, HGA/CGA, CBGS/P2","LightAug + seed=2026","75.2","73.6","80.8","76.5","45.8","80.7","74.5","2.4","7.0","137.6","Test set","best.pt"
"YOLOv11n-C2fCIB+MEFA-LightAug-seed2026","YOLOv11n","C2fCIB, MEFA","HGA/CGA, CBGS/P2","LightAug + seed=2026","67.9","70.5","80.5","73.0","44.2","77.9","70.4","2.57","7.4","143.1","Test set","best.pt"
"YOLOv11n-C2fCIB+MEFA+CGA-LightAug-seed2026","YOLOv11n","C2fCIB, MEFA, CGA","CBGS/P2","LightAug + seed=2026","65.3","69.7","76.7","70.6","41.9","80.7","67.9","2.68","7.6","110.3","Test set","best.pt"
"YOLOv11n-MEFA-LightAug-seed2026","YOLOv11n","MEFA","C2fCIB, CGA/HGA, CBGS/P2","LightAug + seed=2026","69.8","70.6","80.1","73.5","45.4","83.1","70.1","2.75","6.7","126.6","Test set","best.pt"
"YOLOv11n-CGA-LightAug-seed2026","YOLOv11n","CGA","C2fCIB, MEFA, CBGS/P2","LightAug + seed=2026","71.4","71.8","81.6","74.9","44.5","81.8","69.6","2.53","6.4","116.7","Test set","best.pt"
"YOLOv11n-CBGS/P2-LightAug-seed2026","YOLOv11n","CBGS/P2","C2fCIB, MEFA, CGA/HGA","LightAug + seed=2026","73.6","73.2","82.3","76.4","47.7","82.1","73.3","2.9","10.8","92.3","Test set","best.pt"
"YOLOv11n-C2fCIB+CBGS/P2-LightAug-seed2026","YOLOv11n","C2fCIB, CBGS/P2","MEFA, CGA/HGA","LightAug + seed=2026","75.8","75.8","81.6","77.7","45.8","83.2","70.9","2.72","11.5","105.5","Test set","best.pt"
"YOLOv11n-C2fCIB+CGA-LightAug-seed2026","YOLOv11n","C2fCIB, CGA","MEFA, CBGS/P2","LightAug + seed=2026","68.3","69.9","78.1","72.1","44.0","77.5","70.6","2.35","7.1","121.6","Test set","best.pt"
"YOLOv11n-MEFA+CGA-LightAug-seed2026","YOLOv11n","MEFA, CGA","C2fCIB, CBGS/P2","LightAug + seed=2026","73.7","73.6","82.8","76.7","45.6","79.4","74.6","2.86","6.9","141.2","Test set","best.pt"
"YOLOv11n-MEFA+CBGS/P2-LightAug-seed2026","YOLOv11n","MEFA, CBGS/P2","C2fCIB, CGA/HGA","LightAug + seed=2026","68","72.5","82.8","74.4","47","82.7","72.1","3.06","11.2","106.1","Test set","best.pt"
"YOLOv11n-CGA+CBGS/P2-LightAug-seed2026","YOLOv11n","CGA, CBGS/P2","C2fCIB, MEFA","LightAug + seed=2026","73.7","73.4","81.9","76.4","48.3","82.9","72.8","3.01","11","128.2","Test set","best.pt"
"YOLOv11n-C2fCIB+MEFA+CBGS/P2-LightAug-seed2026","YOLOv11n","C2fCIB, MEFA, CBGS/P2","CGA/HGA","LightAug + seed=2026","72.1","75.3","81.6","76.3","47.3","82.1","74.1","2.89","11.9","138.1","Test set","best.pt"
"YOLOv11n-C2fCIB+CGA+CBGS/P2-LightAug-seed2026","YOLOv11n","C2fCIB, CGA, CBGS/P2","MEFA","LightAug + seed=2026","72.5","76.1","80.4","76.3","48.2","83.0","73.4","2.83","11.7","130.5","Test set","best.pt"
"YOLOv11n-MEFA+CGA+CBGS/P2-LightAug-seed2026","YOLOv11n","MEFA, CGA, CBGS/P2","C2fCIB","LightAug + seed=2026","70.0","72.3","81.7","74.7","46.5","80.8","74.2","3.18","11.4","106.9","Test set","best.pt"
