"模型/算法","数据增强","Healthy AP@0.5/%","Bleached AP@0.5/%","Dead AP@0.5/%","mAP@0.5/%","mAP@0.5-0.95/%","Precision/%","Recall/%","Params/M","GFLOPS","FPS","结果口径"
"YOLOv11n-CBGS-Light","轻量增强","74.9","73.9","84.5","77.8","46.6","82.8","71.8","3.00","12.1","71.8","test"
"YOLOv11n-LightAug-seed2026","轻量增强+seed=2026","74.7","74.1","82.3","77.0","47.5","83.2","75.4","2.58","6.3","127.1","test"
"YOLOv11n-NoAug","无任何数据增强","57.5","56.4","72.3","62.1","30.5","70.9","58.3","2.58","6.3","119.0","test"
"YOLOv9t-NoAug","无任何数据增强","55.1","57.4","72.0","61.5","31.5","65.2","62.0","1.97","7.6","62.5","test"
"YOLOv10n-NoAug","无任何数据增强","50.8","51.7","67.4","56.7","28.6","65.8","55.0","2.27","6.5","175.8","test"
"YOLO-MS-XS-NoAug","无任何数据增强","68.1","70.4","79.5","72.7","39.6","81.7","66.7","5.08","8.6","96.9","test"
"YOLOv11n-CBGS-Light (Jetson部署)","轻量增强+seed=2026+Jetson评估","76.0","74.3","85.7","78.6","48.2","82.8","71.8","3.00","12.1","10.3","Jetson-test"
"YOLOv8n-NoAug","无任何数据增强","51.4","49.6","66.3","55.8","26.6","67.2","53.9","3.01","8.1","220.2","test"
"ASF-YOLO-custom-NoAug","无任何数据增强","49.9","50.9","63.9","54.9","26.9","60.2","52.9","3.20","8.1","133.0","test"
"RT-DETR-R18-NoAug","无任何数据增强","45.5","44.1","46.8","45.5","23.6","58.9","43.3","25.45","78.0","64.1","test"
"D-FINE-N-NoAug","无任何数据增强","61.6","59.0","71.8","64.1","36.5","64.1","66.3","3.72","7.1","54.6","test"
"LW-DETR-T-NoAug","无任何数据增强","57.0","45.0","54.7","52.2","27.6","39.7","63.2","11.74","11.2","120.2","test"
"DEIM-D-FINE-N-NoAug","无任何数据增强","50.6","47.7","61.1","53.1","31.2","78.0","50.6","3.73","7.1","73.3","test"
